Product (WPN);Datasheet;OPN;Price;Description;Channel Polarity;Configuration;V(BR)DSS Min (V);RDS(on) @ VGS = 10 V (mΩ)†;ID Max (A);Qg @ VGS = 10 V (nC)†;VGS Max (V);Technology;Package Type;Ciss Typ (pF);VGS(th) Max (V);PD Max (W);RDS(on) Max @ VGS = 2.5 V  (mΩ);RDS(on) Max @ VGS = 4.5 V  (mΩ);Qg Typ @ VGS = 4.5 V (nC);Coss Typ (pF);Crss Typ (pF);Qgd Typ @ VGS = 4.5 V (nC);Qrr Typ (nC);Qualification;Tj Max (°C);AEC Qualified;PPAP Capable;Halide Free;Lead Free;Status
ECH8315;https://www.onsemi.com/download/data-sheet/pdf/ECH8315-D.PDF;ECH8315-TL-H;0.26;P-Channel Power MOSFET, -30V, -7.5A, 25mΩ;P-Channel;Single;-30;25;-7.5;17;20;Silicon;SOT-28 FL / ECH-8;875;2.6;1.5;;44;;200;150;4.7;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTR4502P;https://www.onsemi.com/download/data-sheet/pdf/NTR4502P-D.PDF;NTR4502PT1G;0.07;Single P-Channel Power MOSFET -30V -1.95A 200mΩ;P-Channel;Single;-30;155;1.95;6;20;Silicon;SOT-23-3;200;3;1.25;;240;0.81;80;50;1.7;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDD1600N10ALZ;https://www.onsemi.com/download/data-sheet/pdf/FDD1600N10ALZ-D.pdf;FDD1600N10ALZ;0.34;N-Channel PowerTrench<sup>®</sup> MOSFET 100V, 6.8A, 160mΩ;N-Channel;Single;100;124;6.8;2.78;20;Silicon;DPAK-3 / TO-252-3;169;2.8;14.9;;200;;43;2.04;0.56;42;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDBL86063_F085;https://www.onsemi.com/download/data-sheet/pdf/FDBL86063_F085-D.PDF;FDBL86063-F085;3.11;N-Channel PowerTrench<sup>®</sup> MOSFET, 100V, 240A, 2.6mΩ;N-Channel;Single;100;5.6;240;73;20;Silicon;TO-LL 8L;5120;4;357;;;;3220;32;17;175;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS4C022N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4C022N-D.PDF;NTMFS4C022NT1G;0.40;Power MOSFET 30V 136A 1.7 mOhm Single N−Channel SO−8FL;N-Channel;Single;30;1.7;136;45.2;20;Silicon;SO-8FL / DFN-5;3071;2.2;64;;2.4;;1673;67;4.7;39;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMJS0D7N03CG;https://www.onsemi.com/download/data-sheet/pdf/NTMJS0D7N03CG-D.PDF;NTMJS0D7N03CGTWG;2.84;MOSFET 30V N Channel LFPAK;N-Channel;Single;30;0.65;410;147;20;Silicon;LFPAK-8;12300;1.3;188;;;;5800;88;8.6;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
CPH6350;https://www.onsemi.com/download/data-sheet/pdf/CPH6350-D.PDF;CPH6350-TL-W;0.13;P-Channel Power MOSFET, -30V, -6A, 43mΩ;P-Channel;Single;-30;43;-6;13;20;Silicon;CPH-6;600;2.6;1.6;;82;;145;110;3.2;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMS8622;https://www.onsemi.com/download/data-sheet/pdf/FDMS8622-D.PDF;FDMS8622;0.45;N-Channel Power Trench<sup>®</sup> MOSFET 100V, 16.5A, 56mΩ;N-Channel;Single;100;56;16.5;2.8;20;Silicon;PQFN-8;301;4;31;;;10;70;3.6;1.3;30;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDT86106LZ;https://www.onsemi.com/download/data-sheet/pdf/FDT86106LZ-D.PDF;FDT86106LZ;0.47;N-Channel PowerTrench<sup>®</sup> MOSFET 100V, 3.2A, 108mΩ;N-Channel;Single;100;108;3.2;2.4;20;Silicon;SOT-223-4 / TO-261-4;234;2.2;2.2;;153;;46;3.1;0.9;21;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS6H824N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS6H824N-D.PDF;NTMFS6H824NT1G;0.67;Power MOSFET, Single N-Channel, 80V, 103A, 4.5mΩ;N-Channel;Single;80;4.5;103;38;20;Silicon;SO-8FL / DFN-5;2470;4;3.8;;;;342;11;7;67;Standard;;FALSE;FALSE;TRUE;TRUE;Active
ECH8310;https://www.onsemi.com/download/data-sheet/pdf/ECH8310-D.PDF;ECH8310-TL-H;0.33;P-Channel Power MOSFET, -30 V, -9 A, 17 mΩ;P-Channel;Single;-30;17;-9;28;20;Silicon;SOT-28 FL / ECH-8;1400;2.6;1.5;;28;;350;250;6;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMS86520L;https://www.onsemi.com/download/data-sheet/pdf/FDMS86520L-D.pdf;FDMS86520L;0.77;N-Channel PowerTrench<sup>®</sup> MOSFET 60V, 22A, 8.2mΩ;N-Channel;Single;60;8.2;22;21;20;Silicon;PQFN-8;3470;3;69;;11.7;;625;25;4.7;37;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMD8240L;https://www.onsemi.com/download/data-sheet/pdf/FDMD8240L-D.pdf;FDMD8240L;1.01;Dual N-Channel Power Trench<sup>®</sup> MOSFET 40V, 98A, 2.6mΩ;N-Channel;Dual;40;2.6;98;21;20;Silicon;PQFN-12;3020;3;42;;3.95;;876;33;5;21;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS4C05N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4C05N-D.PDF;NTMFS4C05NT1G;0.45;Single N-Channel Power MOSFET 30V, 78A, 3.4mΩ;N-Channel;Single;30;3.4;78;13;20;Silicon;SO-8FL / DFN-5;1972;2.1;33;;5;;1215;59;5;30.2;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC86520L;https://www.onsemi.com/download/data-sheet/pdf/FDMC86520L-D.PDF;FDMC86520L;0.89;N-Channel Power Trench<sup>®</sup> MOSFET 60V, 22A, 7.9mΩ;N-Channel;Single;60;7.9;22;21;20;Silicon;WDFN-8;3420;3;40;;11.7;;638;25;4.9;21;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFSC004N08MC;https://www.onsemi.com/download/data-sheet/pdf/NTMFSC004N08MC-D.PDF;NTMFSC004N08MC;1.17;N-Channel Dual Cool<sup>TM </sup> 56 PowerTrench<sup>®</sup> MOSFET 80V, ___A, 4.0mΩ;N-Channel;Single;80;4;136;43.4;20;Silicon;DFN-8;2980;4;;;;;950;50;7;50;Standard;;FALSE;FALSE;FALSE;TRUE;Active
NVMTS0D7N04C;https://www.onsemi.com/download/data-sheet/pdf/NVMTS0D7N04C-D.PDF;NVMTS0D7N04CTXG;3.97;Power MOSFET, Single N-Channel, 40 V, 0.67 mOhms, 420 A;N-Channel;Single;40;0.67;420;140;20;Silicon;DFNW-8;9281;4;205;;;;5387;176;;191;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS4C35N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4C35N-D.PDF;NTMFS4C35NT3G;0.57;Single N-Channel Power MOSFET 30V, 80A, 3.2mΩ;N-Channel;Single;30;3.2;80;15;20;Silicon;SO-8FL / DFN-5;2300;2.2;33;;4;;1097;46;5.5;30;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTGS5120P;https://www.onsemi.com/download/data-sheet/pdf/NTGS5120P-D.PDF;NTGS5120PT1G;0.15;Single P-Channel Power MOSFET -60V -2.9A 111mΩ;P-Channel;Single;-60;111;2.5;18.1;20;Silicon;TSOP-6;942;3;1.1;;142;4;72;48;3.6;15.1;Standard;;FALSE;FALSE;TRUE;TRUE;Active
MCH6341;https://www.onsemi.com/download/data-sheet/pdf/MCH6341-D.PDF;MCH6341-TL-W;0.15;Single P-Channel Power MOSFET, -30V, -5A, 59mΩ;P-Channel;Single;-30;59;-5;10;20;Silicon;SC-88FL / MCPH-6;430;2.6;1.5;;100;;105;75;2.5;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDP5800;https://www.onsemi.com/download/data-sheet/pdf/FDP5800-D.pdf;FDP5800;1.13;N-Channel Logic Level PowerTrench<sup>®</sup> MOSFET 60V, 80A, 6mΩ;N-Channel;Single;60;6;80;58;20;Silicon;TO-220-3;6890;2.5;242;;7;17;750;295;18;106;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTBGS002N06C;https://www.onsemi.com/download/data-sheet/pdf/NTBGS002N06C-D.PDF;NTBGS002N06C;4.33;Power MOSFET, 60 V, 2.0 m, 252 A, Single N−Channel, D2PAK7;N-Channel;Single;60;2.2;211;62.1;20;Silicon;D2PAK7 (TO-263-7LD) 15.4x9.9x4.5;4620;4;3.7;;;;2310;30;10.7;89.9;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS5C430NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C430NL-D.PDF;NTMFS5C430NLT3G;1.38;Power MOSFET 40 V, 1.5 mohm, 200 A, Single N-Channel;N-Channel;Single;40;1.4;200;70;20;Silicon;SO-8FL / DFN-5;4300;2;110;;2.2;23;1900;72;9;80;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMD8240LET40;https://www.onsemi.com/download/data-sheet/pdf/FDMD8240LET40-D.pdf;FDMD8240LET40;1.01;Dual N-Channel Power Trench<sup>®</sup> MOSFET 40V, 103A, 2.6mΩ;N-Channel;Dual;40;2.6;103;21;20;Silicon;PQFN-12;3020;3;50;;3.95;;876;33;5;21;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC8622;https://www.onsemi.com/download/data-sheet/pdf/FDMC8622-D.PDF;FDMC8622;0.55;N-Channel Shielded Gate Power Trench<sup>®</sup> MOSFET 100V, 16A, 56mΩ;N-Channel;Single;100;56;16;3;20;Silicon;WDFN-8;302;4;31;;;3;;96;1.4;28;Standard;;FALSE;FALSE;TRUE;TRUE;Active
CPH6341;https://www.onsemi.com/download/data-sheet/pdf/CPH6341-D.PDF;CPH6341-TL-W;0.21;P-Channel Power MOSFET, -30V, -5A, 59mΩ;P-Channel;Single;-30;59;-5;10;20;Silicon;CPH-6;430;2.6;1.6;;100;;105;75;2.5;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC86102L;https://www.onsemi.com/download/data-sheet/pdf/FDMC86102L-D.PDF;FDMC86102L;0.53;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 100V , 18A, 23mΩ;N-Channel;Single;100;23;18;7.3;20;Silicon;WDFN-8;999;3;41;;34;;178;7.6;2.3;45;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMTSC1D6N10MC;https://www.onsemi.com/download/data-sheet/pdf/NTMTSC1D6N10MC-D.PDF;NTMTSC1D6N10MCTXG;2.78;Single N-Channel Power MOSFET 100V, 367A, 1.7mΩ;N-Channel;Single;100;1.7;267;106;20;Silicon;DFNW-8;7630;4;291;;;;4260;80;22;385;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC8321L;https://www.onsemi.com/download/data-sheet/pdf/FDMC8321L-D.pdf;FDMC8321L;0.95;N-Channel Power Trench<sup>®</sup> MOSFET 40V, 49A, 2.5mΩ;N-Channel;Single;40;2.5;49;21;20;Silicon;PQFN-8;2930;3;40;;4.1;;1000;60;5.8;20;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDD8447L;https://www.onsemi.com/download/data-sheet/pdf/FDD8447L-D.pdf;FDD8447L;0.39;N-Channel PowerTrench® MOSFET, 40V, 50A, 8.5mΩ;N-Channel;Single;40;8.5;50;20;20;Silicon;DPAK-3 / TO-252-3;1970;3;44;;11;;250;150;7;11;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMS8333L;https://www.onsemi.com/download/data-sheet/pdf/FDMS8333L-D.pdf;FDMS8333L;0.48;N-Channel PowerTrench<sup>®</sup> MOSFET 40V, 76A, 3.1mΩ;N-Channel;Single;40;3.1;76;46;20;Silicon;PQFN-8;3245;3;69;;4.3;;840;32;5.5;20;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTR5198NL;https://www.onsemi.com/download/data-sheet/pdf/NTR5198NL-D.PDF;NTR5198NLT1G;0.06;Single N−Channel Logic Level Power MOSFET 60V, 2.2A, 155mΩ;N-Channel;Single;60;155;2.2;11;20;Silicon;SOT-23-3;182;2.5;1.5;;205;6.4;22;17;1.5;6;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC86139P;https://www.onsemi.com/download/data-sheet/pdf/FDMC86139P-D.pdf;FDMC86139P;0.67;P-Channel PowerTrench<sup>®</sup> MOSFET -100V, -15A, 67mΩ;P-Channel;Single;-100;67;-15;9.8;25;Silicon;WDFN-8;1001;-4;40;;;;178;10;3.2;141;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS0D55N03CG;https://www.onsemi.com/download/data-sheet/pdf/NTMFS0D55N03CG-D.PDF;NTMFS0D55N03CGT1G;1.15;MOSFET, Power, 30V N-Channel, SO8-FL;N-Channel;Single;30;0.55;435;195;20;Silicon;DFN5 5x6, 1.27P (SO−8FL);14311;2.2;3.9;;;;7472;253;16;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMS003N08C;https://www.onsemi.com/download/data-sheet/pdf/FDMS003N08C-D.PDF;FDMS003N08C;3.18;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 80 V, 147 A, 3.1 mΩ;N-Channel;Single;80;3.1;147;52;20;Silicon;PQFN-8;3820;4;2.7;;8.1;33;1335;44;10;53;Standard;;FALSE;FALSE;TRUE;TRUE;Active
ECH8667;https://www.onsemi.com/download/data-sheet/pdf/ECH8667-D.PDF;ECH8667-TL-H;0.40;Dual P-Channel Power MOSFET, -30V, -5.5A, 39mΩ;P-Channel;Dual;-30;39;-5.5;13;20;Silicon;SOT-28 FL / ECH-8;600;2.6;1.3;;77;;145;110;3.2;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC8588;https://www.onsemi.com/download/data-sheet/pdf/FDMC8588-D.PDF;FDMC8588;0.34;N-Channel PowerTrench<sup>®</sup> MOSFET 25V, 40A, 5.7mΩ;N-Channel;Single;25;5;40;12;12;Silicon;PQFN-8;1228;1.8;26;;5.7;3;;;;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFD5C650NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFD5C650NL-D.PDF;NTMFD5C650NLT1G;3.82;Dual N-Channel Power MOSFET 60V, 111A, 4.2mΩ;N-Channel;Dual;60;4.2;111;37;20;Silicon;SO-8FL Dual / DFN-8;2546;2.2;125;;5.8;16;1258;17;3.1;35;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDT86102LZ;https://www.onsemi.com/download/data-sheet/pdf/FDT86102LZ-D.pdf;FDT86102LZ;0.82;N-Channel PowerTrench<sup>®</sup> MOSFET 100V, 6.6A, 28mΩ;N-Channel;Single;100;28;6.6;8.3;20;Silicon;SOT-223-4 / TO-261-4;1118;3;2.2;;38;;181;7.5;2.2;36;Standard;;FALSE;FALSE;TRUE;TRUE;Active
HUF76429S3S;https://www.onsemi.com/download/data-sheet/pdf/HUF76429S3S-D.pdf;HUF76429S3ST;0.82;N-Channel Logic Level UltraFET Power MOSFET 60V, 44A, 25mΩ;N-Channel;Single;60;22;44;21;16;Silicon;D2PAK-3 / TO-263-2;1480;4;110;;27;;440;90;9.7;230;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTP5D0N15MC;https://www.onsemi.com/download/data-sheet/pdf/NTP5D0N15MC-D.PDF;NTP5D0N15MC;2.05;MOSFET - N-Channel Shielded Gate PowerTrench<sup>®</sup> 150 V, 5.0 mΩ, 139 A;N-Channel;Single;150;5;139;75;20;Silicon;TO-220-3;6300;4.5;2.4;;;;1900;13;;189;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC86102LZ;https://www.onsemi.com/download/data-sheet/pdf/FDMC86102LZ-D.PDF;FDMC86102LZ;0.67;N-Channel Shielded Gate Power Trench<sup>®</sup> MOSFET 100V, 22A, 24mΩ;N-Channel;Single;100;24;22;7.6;20;Silicon;WDFN-8;969;2.2;41;;35;;181;9;2.5;27;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC8360L;https://www.onsemi.com/download/data-sheet/pdf/FDMC8360L-D.pdf;FDMC8360L;0.79;N-Channel Shielded Gate Power Trench<sup>®</sup> MOSFET 40V, 80A, 2.1mΩ;N-Channel;Single;40;2.1;80;26;20;Silicon;PQFN-8;4140;3;54;;3.1;;1230;36;5.7;29;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDG8850NZ;https://www.onsemi.com/download/data-sheet/pdf/FDG8850NZ-D.PDF;FDG8850NZ;0.17;Dual N-Channel PowerTrench<sup>®</sup> MOSFET 30V, 0.75A, 0.4Ω;N-Channel;Dual;30;400;0.75;1.03;12;Silicon;SC-88-6 / SC-70-6 / SOT-363-6;90;1.5;0.36;500;400;;;;;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDS4675;https://www.onsemi.com/download/data-sheet/pdf/FDS4675-D.pdf;FDS4675;0.55;P-Channel PowerTrench<sup>®</sup> MOSFET, 40V, -11A, 13mΩ;P-Channel;Single;-40;13;-11;40;20;Silicon;SOIC-8;4350;-3;2.4;;17;;622;290;13;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDPF320N06L;https://www.onsemi.com/download/data-sheet/pdf/FDPF320N06L-D.pdf;FDPF320N06L;0.87;N-Channel Logic Level PowerTrench<sup>®</sup> MOSFET 60V, 21A, 25mΩ;N-Channel;Single;60;25;21;12.7;20;Silicon;TO-220-3 FullPak;1105;2.5;26;;38;;115;64;6.3;23;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMS86102LZ;https://www.onsemi.com/download/data-sheet/pdf/FDMS86102LZ-D.pdf;FDMS86102LZ;0.77;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 100V, 22A, 25mΩ;N-Channel;Single;100;25;22;7.8;20;Silicon;PQFN-8;979;2.5;69;;37;;175;8.9;2.6;25;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMS86183;https://www.onsemi.com/download/data-sheet/pdf/FDMS86183-D.pdf;FDMS86183;0.54;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET100 V, 51 A, 12.8 mΩ;N-Channel;Single;100;12.8;51;10;20;Silicon;PQFN-8;1080;4;63;;;;646;10;3.4;79;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMQ86530L;https://www.onsemi.com/download/data-sheet/pdf/FDMQ86530L-D.pdf;FDMQ86530L;1.32;N-Channel PowerTrench® MOSFET, GreenBridge™ Series of High-Efficiency Bridge Rectifiers 60V, 8A, 17.5mΩ;N-Channel;Bridge;100;17.5;8;11;20;Silicon;WDFN-12;1725;3;22;;25;;299;10;2.3;12;Standard;;FALSE;FALSE;TRUE;TRUE;Active
2N7002E;https://www.onsemi.com/download/data-sheet/pdf/2N7002E-D.PDF;2N7002ET7G;0.02;N-Channel Small Signal MOSFET 60V, 310mA, 2.5 Ω;N-Channel;Single;60;2500;0.31;0.81;20;Silicon;SOT-23-3;;2.5;0.042;;3000;;;2.9;0.08;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
ECH8657;https://www.onsemi.com/download/data-sheet/pdf/ECH8657-D.PDF;ECH8657-TL-H;0.22;Dual N-Channel Power MOSFET, 35V, 4.5A, 59mΩ;N-Channel;Dual;35;59;4.5;4.6;20;Silicon;SOT-28 FL / ECH-8;230;2.6;1.3;;119;;37;25;1;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDB86102LZ;https://www.onsemi.com/download/data-sheet/pdf/FDB86102LZ-D.pdf;FDB86102LZ;0.69;N-Channel PowerTrench® MOSFET, 100V, 30A, 24mΩ;N-Channel;Single;100;24;30;7.6;20;Silicon;D2PAK-3 / TO-263-2;959;3;3.1;;35;;181;9;2.5;40;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC8321LDC;https://www.onsemi.com/download/data-sheet/pdf/FDMC8321LDC-D.PDF;FDMC8321LDC;0.87;N-Channel Power Trench<sup>®</sup> MOSFET 40V, 108A, 2.5mΩ;N-Channel;Single;40;2.5;108;22;20;Silicon;PQFN-8;2832;3;56;;4.1;;777;66;6.1;11;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS08N004C;https://www.onsemi.com/download/data-sheet/pdf/NTMFS08N004C-D.PDF;NTMFS08N004C;1.94;N‐Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 80V, 126A, 4.0mΩ;N-Channel;Single;80;4;18;25;20;Silicon;PQFN-8;3035;4;125;;;;940;27;7;108;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDD86102LZ;https://www.onsemi.com/download/data-sheet/pdf/FDD86102LZ-D.pdf;FDD86102LZ;0.60;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 100 V, 35 A, 22.5 mΩ;N-Channel;Single;100;22.5;35;8.7;20;Silicon;DPAK-3 / TO-252-3;1157;3;54;;31;;181;7.7;2.4;43;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FQD13N06L;https://www.onsemi.com/download/data-sheet/pdf/FQU13N06L-D.PDF;FQD13N06LTM;0.25;Power MOSFET, N-Channel, Logic Level, QFET<sup>®</sup>, 60 V, 11 A, 115 mΩ, DPAK;N-Channel;Single;60;115;11;4.8;20;Silicon;DPAK-3 / TO-252-3;270;2.5;28;;145;;95;17;2.7;45;Standard;;FALSE;FALSE;FALSE;TRUE;Active
NTMFS5C430N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C430-D.PDF;NTMFS5C430NT1G;0.69;Power MOSFET 40V, 185A, 1.7 mOhm, Single N-Channel standard gate;N-Channel;Single;40;1.7;185;47;20;Silicon;SO-8FL / DFN-5;3300;3.5;106;;;23;1600;45;7;68;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMTS0D7N06C;https://www.onsemi.com/download/data-sheet/pdf/NVMTS0D7N06C-D.PDF;NVMTS0D7N06CTXG;4.93;Single N-Channel Power MOSFET 60V, 464A, 0.72mΩ;N-Channel;Single;60;0.72;464;152;20;Silicon;DFNW-8;11535;4;294.6;;;;8010;174;;324;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDMC86570LET60;https://www.onsemi.com/download/data-sheet/pdf/FDMC86570LET60-D.PDF;FDMC86570LET60;1.13;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 60V, 87A, 4.3mΩ;N-Channel;Single;60;4.3;87;29;20;Silicon;PQFN-8;4790;3;65;;6.5;;821;19;6.3;26;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS5C604NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C604NL-D.PDF;NTMFS5C604NLT1G;1.35;Single N−Channel Power MOSFET 60V, 272A, 1.2 mΩ;N-Channel;Single;60;1.2;276;120;20;Silicon;DFN5 5x6, 1.27P (SO−8FL);8900;2;200;;1.7;41;4000;110;12.7;190;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMD86100;https://www.onsemi.com/download/data-sheet/pdf/FDMD86100-D.PDF;FDMD86100;1.87;Dual N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 100V, 39A, 10.5mΩ;N-Channel;Dual;80;10.5;39;13;20;Silicon;PQFN-8;1469;4;33;;;16;321;12;4.1;46;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMTS0D4N04C;https://www.onsemi.com/download/data-sheet/pdf/NVMTS0D4N04C-D.PDF;NVMTS0D4N04CTXG;4.97;Single N-Channel Power MOSFET 40V, 558A, 0.45mΩ;N-Channel;Single;40;0.45;558;251;20;Silicon;DFNW-8;16500;4;244;;;;8310;607;;336;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDD5353;https://www.onsemi.com/download/data-sheet/pdf/FDD5353-D.pdf;FDD5353;0.63;N-Channel Power Trench<sup>®</sup> MOSFET, 60V, 50A, 12.3mΩ;N-Channel;Single;60;12.3;50;23;20;Silicon;DPAK-3 / TO-252-3;2420;3;69;;15.4;;215;120;9;21;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS5C645N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C645N-D.PDF;NTMFS5C645NT1G;1.22;Single N-Channel Power Mosfet 60V, 94A, 4.5mΩ;N-Channel;Single;60;4.5;94;20.4;20;Silicon;SO-8FL / DFN-5;1510;4;3.7;;;;1100;15;2.4;34;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDMC012N03;https://www.onsemi.com/download/data-sheet/pdf/FDMC012N03-D.pdf;FDMC012N03;1.21;N-Channel Power Trench<sup>®</sup> MOSFET 30 V, 1.23 mΩ;N-Channel;Single;30;1.23;35;35;12;Silicon;PQFN-8;5845;2;64;;1.46;;;;;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS4C03N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4C03N-D.PDF;NTMFS4C03NT1G;0.75;Single N−Channel Power MOSFET 30V, 136A, 2.1mΩ;N-Channel;Single;30;2.1;136;19.8;20;Silicon;SO-8FL / DFN-5;3071;2.2;64;;2.8;;1673;67;4.7;39;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS4C03N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4C03N-D.PDF;NTMFS4C03NT3G;0.75;Single N−Channel Power MOSFET 30V, 136A, 2.1mΩ;N-Channel;Single;30;2.1;136;19.8;20;Silicon;SO-8FL / DFN-5;3071;2.2;64;;2.8;;1673;67;4.7;39;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS5C406NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C406NL-D.PDF;NTMFS5C406NLT1G;2.51;Single N-Channel Power MOSFET 40V, 362A, 0.7mΩ;N-Channel;Single;40;0.7;362;149;20;Silicon;DFN5 5x6, 1.27P (SO−8FL);9400;2;3.9;;1.1;;4600;140;22;174;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NDB5060L;https://www.onsemi.com/download/data-sheet/pdf/NDB5060L-D.pdf;NDB5060L;1.22;N-Channel Logic Level Enhancement Mode Field Effect Transistor 60V, 26A, 35mΩ;N-Channel;Single;60;35;26;17;16;Silicon;D2PAK-3 / TO-263-2;840;2;68;;50;26;230;75;10;;Standard;;FALSE;FALSE;FALSE;TRUE;Active
NTMFS0D9N03CG;https://www.onsemi.com/download/data-sheet/pdf/NTMFS0D9N03CG-D.PDF;NTMFS0D9N03CGT1G;0.92;MOSFET, Power 30V N-Channel, SO8FL;N-Channel;Single;30;0.9;298;131.4;20;Silicon;SO-8FL / DFN-5;9550;2.2;144;;;;4306;243;24.2;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTBGS6D5N15MC;https://www.onsemi.com/download/data-sheet/pdf/NTBGS6D5N15MC-D.PDF;NTBGS6D5N15MC;2.69;Power MOSFET, 150 V, 6.5 mΩ,  A, Single N−Channel, D2PAK7;N-Channel;Single;150;6.5;130;58;20;Silicon;D2PAK-7 / TO-263-7;4550;4.5;3.8;;;;1370;10.3;7.4;141;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMTS0D6N04CL;https://www.onsemi.com/download/data-sheet/pdf/NTMTS0D6N04CL-D.PDF;NTMTS0D6N04CLTXG;4.16;Single N-Channel Power MOSFET 40V, 554.5A, 0.42mΩ, PQFN 8x8;N-Channel;Single;40;0.42;554.5;265;20;Silicon;DFNW-8;16013;4;5;;0.66;126;6801;299;38.4;228;Standard;;FALSE;FALSE;TRUE;TRUE;Active
