Product (WPN);Datasheet;OPN;Price;Description;Channel Polarity;Configuration;V(BR)DSS Min (V);RDS(on) @ VGS = 10 V (mΩ)†;ID Max (A);Qg @ VGS = 10 V (nC)†;VGS Max (V);Technology;Package Type;Ciss Typ (pF);VGS(th) Max (V);PD Max (W);RDS(on) Max @ VGS = 2.5 V  (mΩ);RDS(on) Max @ VGS = 4.5 V  (mΩ);Qg Typ @ VGS = 4.5 V (nC);Coss Typ (pF);Crss Typ (pF);Qgd Typ @ VGS = 4.5 V (nC);Qrr Typ (nC);Qualification;Tj Max (°C);AEC Qualified;PPAP Capable;Halide Free;Lead Free;Status
NVMFS6H864NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H864NL-D.PDF;NVMFS6H864NLT1G;0.27;MOSFET - Power, Single N-Channel, 80 V, 29 m Ω, 22 A - NVMFS6H864NL, DFN5 (Pb−Free);N-Channel;Single;80;29;22;9;20;Silicon;SO-8FL / DFN-5;431;2;33;;38;4;55;4;1.4;16;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS6H864NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H864NL-D.PDF;NVMFS6H864NLWFT1G;0.42;MOSFET - Power, Single N-Channel, 80 V, 29 m Ω, 22 A - NVMFS6H864NL, DFN5 (Pb−Free, Wettable Flanks);N-Channel;Single;80;29;22;9;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);431;2;33;;38;4;55;4;1.4;16;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS4C02N;https://www.onsemi.com/download/data-sheet/pdf/NVTFS4C02N-D.PDF;NVTFS4C02NWFTAG;0.94;MOSFET - Single N-Channel Power, N-Channel, µ8FL, 30V, 162 A, 2.25 mΩ;N-Channel;Single;30;2.25;162;45;20;Silicon;WDFNW8 3.3x3.3, 0.65P (Full−Cut 8FL WF);2980;2.2;3.2;;3.1;20;1200;0.018;4;28;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS6H860NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H860NL-D.PDF;NVTFS6H860NLTAG;0.37;MOSFET - Power, Single N-Channel, 80 V, 20 mΩ 30 A - NVTFS6H860NL, WDFN8 (Pb−Free);N-Channel;Single;80;20;30;12;20;Silicon;WDFN-8 / u8FL;610;2;42;;26;1;83;5;2;21;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS6H860NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H860NL-D.PDF;NVTFS6H860NLWFTAG;0.37;MOSFET - Power, Single N-Channel, 80 V, 20 mΩ 30 A - NVTFS6H860NL, WDFN8 (Pb−Free, Wettable Flanks);N-Channel;Single;80;20;30;12;20;Silicon;WDFNW8 3.3x3.3, 0.65P (Full−Cut 8FL WF);610;2;42;;26;1;83;5;2;21;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS4C308N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS4C308N-D.PDF;NVMFS4C308NWFT1G;2.81;Power MOSFET 30V, 55A, 4.8 mΩ, Single N-Channel, SO8-FL, Logic Level., Wettable Flank option available;N-Channel;Single;30;4.8;55;18.2;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);1113;2.1;3;;7;8.4;702;39;3.3;15.3;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS052P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVTFS052P04M8L-D.PDF;NVTFS052P04M8LTAG;0.26;Power MOSFET, Single P-Channel, -40V, 69mΩ, -13.2A;P-Channel;Single;-40;69;-13.2;6.3;20;Silicon;WDFN-8 / u8FL;424;-2.4;23;;100;3;161;9.3;;9.1;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS052P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVTFS052P04M8L-D.PDF;NVTFWS052P04M8LTAG;0.26;Power MOSFET, Single P-Channel, -40V, 69mΩ, -13.2A;P-Channel;Single;-40;69;-13.2;6.3;20;Silicon;WDFNW8 3.3x3.3, 0.65P (Full−Cut 8FL WF);424;-2.4;23;;100;3;161;9.3;;9.1;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS005N10MCL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS005N10MCL-D.PDF;NVMFWS005N10MCLT1G;0.89;MOSFET - Power, Single, N-Channel 100 V, 5.1 mΩ, 108A, Wettable flank option.";N-Channel;Single;100;5.1;108;55;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);4100;3;131;;7.1;26;1350;22;;54;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMJD3D0N04C;https://www.onsemi.com/download/data-sheet/pdf/NVMJD3D0N04C-D.PDF;NVMJD3D0N04CTWG;1.26;Dual N-Channel Power MOSFET 40V, 127A,  2.9mΩ;N-Channel;Dual;40;2.9;127;38;20;Silicon;LFPAK8 5.15x6.15;2450;3.5;89;;;;1200;44;;35;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
