"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","V(BR)GSS Min (V)","IDSS Min (mA)","IDSS Max (mA)","Channel Polarity","Package Type","Ciss Max (pF)","Crss Max (pF)","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"90","2SK3557","https://www.onsemi.com/download/data-sheet/pdf/2SK3557-D.PDF","2SK3557-7-TB-E","0.13","N-Channel JFET, 15V, 10 to 32mA, 35mS, CP","15","16","32","N-Channel","SC-59-3 / CP-3","10","2.9","Standard","false","false","false","true","Active"
"90","MMBFJ177L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ177LT1-D.PDF","MMBFJ177LT1G","0.08","P-Channel JFET Transistor","30","1.5","20","P-Channel","SOT-23-3","11","5.5","Standard","false","false","true","true","Active"
"90","MCH5908","https://www.onsemi.com/download/data-sheet/pdf/ENA1218-D.PDF","MCH5908H-TL-E","0.24","N-Channel JFET, 15V, 10 to 32mA, 35mS, Dual MCPH5","15","16","32","N-Channel","SC-88AFL / MCPH-5","10.5","3.5","Standard","false","false","false","true","Active"
"89","MMBF4117","https://www.onsemi.com/download/data-sheet/pdf/MMBF4117-D.PDF","MMBF4117","0.12","N-Channel Switch","40","0.03","0.09","N-Channel","SOT-23-3","3","1.5","Standard","false","false","true","true","Active"
"89","MMBF5486","https://www.onsemi.com/download/data-sheet/pdf/MMBF5486-D.PDF","MMBF5486","0.06","N-Channel RF Amplifier","25","8","20","N-Channel","SOT-23-3","5","1","Standard","false","false","true","true","Active"
"89","MMBF4416","https://www.onsemi.com/download/data-sheet/pdf/MMBF4416-D.PDF","MMBF4416","0.07","N-Channel RF Amplifier","30","5","15","N-Channel","SOT-23-3","4","0.9","Standard","false","false","true","true","Active"
"88","MMBFJ310L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ309LT1-D.PDF","SMMBFJ310LT3G","0.11","N-Channel JFET Transistor","25","24","60","N-Channel","SOT-23-3","5","2.5","Automotive","true","true","true","true","Active"
"88","MMBFJ310L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ309LT1-D.PDF","SMMBFJ310LT1G","0.11","N-Channel JFET Transistor","25","24","60","N-Channel","SOT-23-3","5","2.5","Automotive","true","true","true","true","Active"
"88","NSVJ3910SB3","https://www.onsemi.com/download/data-sheet/pdf/NSVJ3910SB3-D.PDF","NSVJ3910SB3T1G","0.17","N-Channel JFET, -25 V, 20 to 40 mA, 40 mS","25","20","40","N-Channel","CPH-3","6","2.3","Automotive","true","true","false","true","Active"
"88","MMBFJ175L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ175LT1-D.PDF","MMBFJ175LT3G","0.08","P-Channel JFET Transistor, 30 V","30","7","60","P-Channel","SOT-23-3","11","5.5","Standard","false","false","true","true","Active"
"87","MMBF4393L","https://www.onsemi.com/download/data-sheet/pdf/MMBF4391LT1-D.PDF","MMBF4393LT3G","0.08","N-Channel JFET Transistor","30","5","30","N-Channel","SOT-23-3","14","3.5","Standard","false","false","true","true","Active"
"87","MMBF4393L","https://www.onsemi.com/download/data-sheet/pdf/MMBF4391LT1-D.PDF","MMBF4393LT1G","0.07","N-Channel JFET Transistor","30","5","30","N-Channel","SOT-23-3","14","3.5","Standard","false","false","true","true","Active"
"87","MMBFJ175L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ175LT1-D.PDF","MMBFJ175LT1G","0.08","P-Channel JFET Transistor, 30 V","30","7","60","P-Channel","SOT-23-3","11","5.5","Standard","false","false","true","true","Active"
"87","MMBF4416A","https://www.onsemi.com/download/data-sheet/pdf/MMBF4416A-D.PDF","MMBF4416A","0.07","N-Channel Switch","35","5","15","N-Channel","SOT-23-3","4","0.8","Standard","false","false","true","true","Active"
